INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('MidnightBlue', '1973-02-18', 'album', 'http://www.deleon-pratt.info/', 145, 1);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('streetDeepSkyBlue', '1960-10-18', 'album', 'https://www.mcconnell.com/', 174, 2);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('Cyanreduce', '1985-06-29', 'album', 'https://www.wallace-miller.biz/', 174, 2);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('OrangeRed', '1988-12-11', 'album', 'http://www.reed.com/', 174, 2);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('SaddleBrown', '1964-01-13', 'album', 'https://www.ford.com/', 105, 3);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('SkyBluerelate', '2003-03-26', 'album', 'https://www.tanner.net/', 105, 3);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('LemonChiffondegree', '1967-10-26', 'album', 'http://phillips.info/', 49, 4);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('PaleGoldenRod', '1961-01-01', 'album', 'https://www.huffman.org/', 49, 4);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('Indigo', '1993-06-16', 'album', 'http://dudley.com/', 49, 4);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('Thistle', '1989-07-15', 'album', 'https://hopkins.com/', 130, 5);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('Tealhowever', '1999-05-08', 'album', 'https://www.hubbard-taylor.com/', 130, 5);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('Maroon', '1993-05-08', 'album', 'https://www.flores.com/', 132, 6);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('beforeAliceBlue', '1997-06-03', 'album', 'http://www.wilcox-smith.com/', 132, 6);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('restDeepPinkadmit', '1991-09-30', 'album', 'https://berg.com/', 169, 7);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('Gold', '1978-07-29', 'album', 'http://murphy-mitchell.info/', 109, 8);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('throughoutSeaGreen', '1977-06-21', 'album', 'http://www.smith.biz/', 117, 9);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('DarkKhakidoctor', '1972-10-28', 'album', 'http://alvarado.net/', 117, 9);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('DarkSlateBlue', '1959-08-13', 'album', 'http://www.thomas-larson.com/', 117, 9);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('skillAqua', '1990-03-17', 'album', 'http://mitchell.net/', 150, 10);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('DarkTurquoise', '1961-03-03', 'album', 'https://lambert.info/', 150, 10);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('Ivory', '1995-11-14', 'album', 'https://www.proctor.com/', 46, 11);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('Pink', '1978-11-03', 'album', 'http://www.rogers-curtis.com/', 46, 11);
INSERT INTO albums (title, release_date, type, image, genre_id, artist_id) VALUES ('Green', '1972-08-23', 'album', 'http://moore.info/', 46, 11);
