INSERT INTO member_subscription (user_id, sub_id, role) VALUES (17, 1, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (90, 1, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (50, 2, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (94, 3, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (11, 4, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (89, 5, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (81, 6, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (19, 7, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (6, 7, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (63, 8, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (44, 9, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (61, 9, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (59, 10, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (79, 10, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (74, 10, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (37, 10, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (53, 10, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (41, 10, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (56, 11, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (55, 11, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (8, 12, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (57, 13, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (36, 14, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (2, 14, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (75, 14, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (66, 14, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (16, 14, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (7, 14, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (34, 15, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (73, 16, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (97, 17, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (84, 18, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (49, 19, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (26, 20, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (23, 20, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (100, 20, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (46, 20, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (38, 20, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (40, 20, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (70, 21, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (4, 22, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (85, 23, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (72, 23, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (65, 23, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (9, 23, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (25, 23, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (3, 23, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (76, 24, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (58, 24, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (29, 25, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (20, 25, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (24, 25, 'member');
