INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkViolet', 1, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('GhostWhite', 1, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Aymara', 1, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Persian', 1, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Wheat', 2, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LightCoral', 2, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Magenta', 2, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sundanese', 2, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('HoneyDew', 2, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkBlue', 3, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Samoan', 3, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Shona', 3, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Swahili', 3, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DimGray', 3, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Khaki', 4, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Church Slavic', 4, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Divehi', 4, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LawnGreen', 4, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Esperanto', 4, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Purple', 5, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Cornish', 6, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Ewe', 7, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Chinese', 7, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('PaleTurquoise', 7, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Bisque', 7, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Norwegian Nynorsk', 7, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kashmiri', 8, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Tigrinya', 8, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Haitian', 8, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('IndianRed', 9, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Ivory', 9, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('OrangeRed', 9, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('MediumBlue', 9, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('YellowGreen', 9, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Korean', 10, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Occitan', 10, 'private');
