INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('prettyMoccasin', 74474, 1, 145, 1, 15404);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('Snow', 307978, 1, 145, 1, 449455);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('SandyBrowntwo', 530939, 1, 145, 1, 347956);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('MediumSeaGreenwith', 71895, 1, 145, 1, 972994);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('anyonePaleTurquoisefact', 238563, 1, 145, 1, 184405);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('elseFuchsiacommon', 492095, 1, 145, 1, 207804);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('characterBeige', 241346, 1, 145, 1, 680451);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('DarkOrchid', 143126, 1, 145, 1, 393971);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('DarkSeaGreenwork', 258100, 2, 174, 2, 527588);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('bitIndigo', 182822, 2, 174, 2, 244065);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('PowderBlueover', 258717, 2, 174, 2, 793892);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('Gray', 395854, 2, 174, 3, 322683);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('bornTurquoiseparty', 233632, 2, 174, 3, 673944);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('BlueViolet', 256042, 2, 174, 3, 706451);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('storyRoyalBlue', 78467, 2, 174, 3, 119608);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('Beigecommercial', 138817, 2, 174, 3, 525120);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('nowSlateGray', 97462, 2, 174, 3, 220116);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('onLightSeaGreen', 203723, 2, 174, 3, 770340);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('sixMediumTurquoisecity', 297442, 2, 174, 3, 155804);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('Wheatlisten', 582076, 2, 174, 4, 91067);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('DimGray', 491463, 2, 174, 4, 210584);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('SpringGreencharge', 408460, 2, 174, 4, 657798);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('DeepPinkmean', 423605, 2, 174, 4, 955054);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('cutMaroonmajority', 235570, 2, 174, 4, 992947);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('Blue', 589982, 3, 105, 5, 340068);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('GreenYellowright', 215920, 3, 105, 5, 999029);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('sceneCornsilkfoot', 361270, 3, 105, 5, 843368);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('LightSalmonreligious', 412055, 3, 105, 5, 479206);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('showIndigo', 420855, 3, 105, 6, 624628);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('stuffCornflowerBlueyet', 78379, 3, 105, 6, 668206);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('certainlyDarkGrayeight', 331491, 3, 105, 6, 465762);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('MediumVioletRed', 499937, 3, 105, 6, 53108);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('DarkRed', 116746, 4, 49, 7, 751086);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('farPapayaWhipbrother', 476364, 4, 49, 7, 986295);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('requirePaleGoldenRodreduce', 230171, 4, 49, 7, 578427);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('executiveDarkMagenta', 305237, 4, 49, 7, 904970);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('Gainsboro', 268848, 4, 49, 8, 102591);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('Sienna', 582061, 4, 49, 8, 926500);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('treeOrchid', 221714, 4, 49, 8, 400688);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('controlSteelBlue', 496327, 4, 49, 8, 21018);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('PeachPuff', 536673, 4, 49, 8, 958444);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('MistyRose', 311710, 4, 49, 9, 419744);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('Coral', 511443, 4, 49, 9, 388838);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('imageGold', 91529, 4, 49, 9, 729816);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('LightGoldenRodYellowwin', 195265, 4, 49, 9, 927883);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('AntiqueWhiteaffect', 488721, 4, 49, 9, 28459);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('continuePeachPuffchair', 433364, 5, 130, 10, 919852);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('PaleGoldenRodstuff', 449293, 5, 130, 10, 573775);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('Magenta', 400782, 5, 130, 10, 954887);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('Tomato', 460271, 5, 130, 10, 349695);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('floorPaleTurquoiseremember', 495263, 5, 130, 10, 460825);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('DarkGoldenRodfirst', 110609, 5, 130, 10, 419234);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('DarkMagenta', 352706, 5, 130, 10, 165985);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('LemonChiffon', 240146, 5, 130, 10, 100135);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('otherPink', 543635, 5, 130, 11, 521800);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('sellGainsborogrowth', 498969, 5, 130, 11, 687276);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('discussionVioletauthor', 426890, 5, 130, 11, 45639);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('mightMistyRose', 75188, 5, 130, 11, 560646);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('DarkViolet', 504051, 5, 130, 11, 330854);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('DeepSkyBluewhite', 221493, 5, 130, 11, 590928);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('Lavenderair', 233285, 5, 130, 11, 918282);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('SeaGreen', 258996, 5, 130, 11, 630481);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('everybodyLightBlue', 574475, 6, 132, 12, 694357);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('intoLightCoralgrow', 314642, 6, 132, 12, 791266);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('abilitySeaGreenparticular', 259635, 6, 132, 12, 33982);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('DarkTurquoise', 469739, 6, 132, 12, 118775);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('DarkKhaki', 549061, 6, 132, 12, 492165);
INSERT INTO songs (title, duration, artist_id, genre_id, album_id, streams) VALUES ('LightGoldenRodYellowseek', 251755, 6, 132, 12, 817082);
