INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (1, '2025-02-02', NULL, 1, 'active', 2);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (2, '2024-07-16', '2025-02-08', 1, 'disabled', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (3, '2024-03-01', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (4, '2024-05-19', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (5, '2025-02-03', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (6, '2024-11-16', NULL, 1, 'active', 5);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (7, '2024-04-07', NULL, 1, 'active', 2);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (8, '2024-06-18', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (9, '2024-09-05', NULL, 1, 'active', 2);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (10, '2024-02-12', NULL, 1, 'active', 3);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (11, '2024-09-21', NULL, 1, 'active', 2);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (12, '2024-05-10', NULL, 1, 'active', 4);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (13, '2023-11-09', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (14, '2024-07-28', NULL, 1, 'active', 3);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (15, '2025-02-12', NULL, 0, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (16, '2024-08-17', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (17, '2025-01-28', '2024-10-17', 1, 'disabled', 4);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (18, '2024-12-16', '2025-02-12', 1, 'disabled', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (19, '2023-12-11', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (20, '2024-07-09', '2024-11-22', 1, 'disabled', 3);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (21, '2024-06-05', NULL, 1, 'active', 4);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (22, '2024-07-10', NULL, 0, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (23, '2024-11-26', NULL, 1, 'active', 3);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (24, '2023-12-27', NULL, 1, 'active', 2);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (25, '2024-11-18', '2024-11-20', 1, 'disabled', 3);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (26, '2025-03-17', '2024-11-21', 0, 'disabled', 2);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (27, '2024-01-29', NULL, 1, 'active', 3);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (28, '2024-09-18', NULL, 1, 'active', 3);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (29, '2023-12-15', '2024-10-25', 1, 'disabled', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (30, '2024-04-07', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (31, '2023-11-24', NULL, 0, 'active', 2);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (32, '2024-11-30', '2024-12-17', 1, 'disabled', 4);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (33, '2023-10-17', NULL, 1, 'active', 3);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (34, '2025-01-19', NULL, 1, 'active', 4);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (35, '2024-06-20', NULL, 1, 'active', 2);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (36, '2024-04-24', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (37, '2024-05-07', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (38, '2024-08-10', NULL, 1, 'active', 5);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (39, '2024-06-17', NULL, 1, 'active', 2);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (40, '2024-04-13', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (41, '2024-08-30', NULL, 1, 'active', 3);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (42, '2024-08-01', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (43, '2023-11-21', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (44, '2024-03-04', NULL, 1, 'active', 4);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (45, '2025-02-11', NULL, 1, 'active', 1);
INSERT INTO subscriptions (sub_id, date_start, date_finish, recorrency, status, plan_id) VALUES (46, '2025-02-22', NULL, 1, 'active', 1);
